Schwierigkeit	Frage	DAS	B	C	D	Antworten	Kategorie
5	Was ist Sorbet?	braune Biersorte	Bierteig	salziger Bierschlittschuh	susser Fruchtsaft	D	KuCHE
6	Wie navigieren Fledermause nachts?	mit Ultraschall	mit ihren Krallen	mit ihren Flugeln	mit ihren Schwanzfedern	A	BIOLOGIE
7	Welches besondere Bild zeichnet die Erfindung des Nobelpreistragers Denes Gabor?	digitales Bild	Hologramm	Piktogramm	Schnappschuss	B	TECHNIK
8	Was gilt laut KRESZ nicht als Fussganger?	wer ein Fahrrad schiebt	wer ein moped schiebt	der eine Schubkarre schiebt	der Tiere hutet	D	ALLGEMEINES
1	Was passiert mit dem Kinn einer Person, die hungrig bleibt?	es fallt	es nutzt sich ab	er zuckt zusammen	wird sich rasieren	B	ALLGEMEINES
2	Welches der folgenden "Milchprodukte" ist ein Pflanzenname?	Stiermilch	Huttenkase	Stierbutter	Malve	D	BIOLOGIE
3	Wo organisierten die alten Romer Gladiatorenspiele?	in Amphoren	am Morgen	in einem Amphitheater	im Fitnessstudio	C	GESCHICHTE
4	Welches der folgenden Werke wird Istvan Szechenyi zugeschrieben?	uber die Jager	Das Pferderad	Die Rinderrolle	Der doppelkopfige Adler	B	GESCHICHTE
5	Was ist die Wahrung von Albanien?	Lewa	lei	Lek	lwei	C	LaNDER
6	Wessen Name verbindet man mit dem Spruch: "Die Wurfel sind gefallen"?	Sokrates	Thales	Julius Caesar	Erno Rubik	C	ALLGEMEINES
7	Was wurde in der Flasche aufbewahrt?	Tabak	Brandy	wurzen	Tinte	B	ALLGEMEINES
8	In welchem Stil wurde die Kathedrale in Esztergom gebaut?	Barock-	Neurumanisch	Neorenaissance	klassizistisch	D	DIE ARCHITEKTUR
9	Was bedeutet das Wort "Amen" am Ende des Gebets?	es ist vorbei	zum Herrn	bis in alle Ewigkeit	so sei es	D	SPRACHE
10	Wofur steht MTK?	Ungarischer Sportverein	Ungarischer Korpertrainerkreis	Ungarischer Turnverein	Kreis der ungarischen Turner	B	SPORT
11	Welches Land grenzt nicht an Brasilien?	Ecuador	Guayana	Paraguay	Bolivien	A	LaNDER
12	Wo spielt Bernsteins Musical "West Side Story"?	in San Francisco	in Los Angeles	in NewYork	in London	C	MUSIK
1	"Was machst du mit Bier", so der Titel des Hits der Fonograph-Gruppe?	Entscheide dich!	Schieben Sie es hier!	Zahlen Sie es aus!	Schick es runter!	B	MUSIK
2	Wie heisst das obere, horizontale Holz des Turrahmens?	Stirn Baum	Sofa	Sturz	Torpfosten	C	ALLGEMEINES
3	Wie hangt das Gewand mit der Gerechtigkeit zusammen?	der Name des Gerichtshammers	war ein kriminelles Instrument	der Name des Richtergewandes	Name des Anwaltssiegels	C	ALLGEMEINES
4	Wofur verwenden Asiaten Junk?	zum Kochen von Reisschnaps	zum Versand	zum Seidenweben	fur die Herstellung von Feuerwerkskorpern	B	ALLGEMEINES
5	Was bleibt beim Kandieren erhalten?	Mit Salz	mit Essig	mit Zucker	mit Alkohol	C	KuCHE
6	Wessen Frau war Katinka Andrassy, die "rote Grafin"?	Gyula Andrassy	Kalman Tisza	Mihaly Karolyi	Jozsef Eotvos	C	GESCHICHTE
7	Welches Theater war der Direktor von Major Tamas?	Madach-Theater	Nationaltheater	Comedy-Theater	Pest-Theater	B	THEATER
8	Was fur eine Pflanze ist die Berberitze?	Moos	Art Kiefer	Farn	Pilz	B	BIOLOGIE
1	Wo haben unsere Vorfahren dem Volksglauben nach das Fleisch zart gemacht?	unter dem Sattel	unter dem Rad	unter einem Hufeisen	in einem Salzbrunnen	A	GESCHICHTE
2	Wer hat die Party getragen?	die Ehefrauen	die unverheirateten	die Witwen	die Braute	B	ALLGEMEINES
3	Aus welchem Erz wird Aluminium gewonnen?	aus Kupfer	aus Bauxit	aus Eisenerz	aus Nickel	B	TECHNIK
4	Welcher Fruhling steht im Titel des Films mit Katalin Karady?	Es ist regnerisch	todlich	totlich	tauschen	C	FILM
5	In welcher Verdi-Oper wird die beginnende Arie "Az asszony intagag" aufgefuhrt?	Othello	Don Carlos	Rigoletto	Traviata	C	OPER
6	Welche Fahigkeit hat Mimikry Vorteile?	Trockenheitstoleranz	Umwandlung von Lichtenergie	Farb- und Formimitation	Geruchserkennung	C	BIOLOGIE
7	Wie heisst das Treffen der Kardinale zur Wahl eines Papstes?	Konvention	Konkordat	Gemeinde	Konklave	D	RELIGION
8	Wer spielte den tapferen Janos bei der Premiere von Pongrac Kacsohs Liederspiel?	Janos Sardy	Sari Fedak	Bla Lujza	Ede Ujhazi	D	THEATER
9	Mit welcher Geschwindigkeit darf laut KRESZ ein Moped auf dem Radweg fahren?	bis 15 km/h	bis 30 km/h	bis 20 km/h	bis 10 km/h	C	ALLGEMEINES
10	Was war die erste LP der Band Illes?	Kusse und Ohrfeigen	Gib deine Hand!	Der Weg ist hart	Nicht weinen Madels!	C	MUSIK
1	In welchem "Raum" arbeiten Fotografen?	Scharf	Scharf	dunkel	duster	C	ALLGEMEINES
2	Welcher Tiername passt zum Namen eines um den Hals getragenen Kleidungsstucks fur Frauen?	Nandu	Boa	Alpaka	Gut	B	ALLGEMEINES
3	Auf dem Territorium welchen heutigen Staates lebten die Azteken?	Guatemala	Peru	Kolumbien	Mexiko	D	GESCHICHTE
4	Welches der Folgenden wird Schnitzel genannt?	das heranwachsende Huhn	die hellblutige Dame	wurde die Wiege	das Schweinefilet	D	SPRACHE
5	Wer hat den ersten Koch gemacht?	Lehrlinge der Holzfallergilde	Die Alten	die Geachteten von Bakony	die Apachen	B	GESCHICHTE
6	Wer kommt im Rejto-Roman naher mit dem 14-Karat-Auto in Beruhrung?	Iwan Gortschew	Es ist Jimmy	Dammerung Hopkins	der echte Trebitsch	A	LITERATUR
7	Ferenc Karinthy, der ausgezeichnete Schriftsteller, war ein fuhrender Wettkampfer in welchem Sport?	im Wasserball	im Fussball	im Tennis	in der Leichtathletik	A	SPORT
8	Wessen Palast war der Mythologie zufolge Walhalla?	Morrigan	Krishna	Odin	Osiris	C	RELIGION
9	Welches Land hat die meisten Nachbarn?	Russland	China	Sudan	Brasilien	A	LaNDER
1	Was rief Archimedes, als er aus der Badewanne sprang, als er sein beruhmtes Gesetz erkannte?	Demokratie!	Olympiade!	Anarchie!	Eureka!	D	WISSENSCHAFT
2	Welches Mitglied der Beatles trug eine Brille?	John Lennon	Paul McCartney	George Harrison	Ringo Starr	A	MUSIK
3	Welches der Folgenden wird zur Salzherstellung verwendet?	grune Erbsen	Linse	trockene Bohnen	gelbe Erbsen	C	KuCHE
4	Was wurde ein spanischer Stiefel genannt?	die Schuhe der Stierkampfer	edles Schuhwerk	Werkzeug zur Weinherstellung	Abfragegerat	D	SPRACHE
5	Welches Land ist nicht von der Donau betroffen?	Bulgarien	Slowenien	Kroatien	Slowakei	B	ERDKUNDE
1	Wie sah die beruhmte ungarische Wasserflasche aus?	Hundehaar	Maus aus Leder	Wildleder	Kuh-Euter	C	ALLGEMEINES
2	Welche Art von Fotografieprozess nimmt ein Foto in ein oder zwei Minuten auf?	Polarographie	Polaroid	Tomographie	Polder	B	TECHNIK
3	Von welchem russischen Soldaten verabschiedet sich die Band Pa-Do-Do?	Wladimir	Iwan	Sascha	Sergej	C	MUSIK
4	Welches Tier ist zum Wahrzeichen Berlins geworden?	der Stier	der Bar	das Kanguru	der Lowe	B	ALLGEMEINES
5	In welchem Gedicht wird der "sehonna bitang emer" erwahnt?	Hymne	Nationalhymne	Wort	Herr Pal Pato	B	LITERATUR
6	Welche beruhmte Familie baute ein Schloss in Fertod?	Batthyany	Szechenyi	Esterhazy	Rakoczi	C	UNGARN
7	Welche Eigenschaft zeichnet einen bullischen Springer aus?	treu	ohne Kiel	qualifiziert	unritterlich	C	SPRACHE
8	Welches der folgenden Lebensmittel wird als "Kugel" bezeichnet?	der Schweinekase	die hepatische Schleife	der Ziegenkase	das Roggenbrot	A	KuCHE
9	Welche der folgenden Schreibweisen ist falsch?	Dekoration Jahrhundert	Montage	Schlusselbein	angemessen	D	SPRACHE
10	Wie hiess das Schiff, das die uberlebenden der Titanic an Bord nahm?	Eritrea	Karpaten	Lusitania	Aurora	B	ALLGEMEINES
11	In welchem Land liegt die Kalahari-Wuste?	Botswana	Namibia	Zimbabwe	Republik von sudafrika	A	ERDKUNDE
12	Woher hat die Hunderasse Rottweiler ihren Namen?	einer Schafrasse	einer Farbe	uber den Namen einer Stadt	aus dem Namen eines Zuchters	C	SPRACHE
1	Welcher der folgenden Namen ist kein Pflanzenname?	Blaubeere	Weissdorn	tarhonya	Kartoffel	C	BIOLOGIE
2	Woher kommt Akupunktur als Medizin?	Aus China	Aus Indien	Aus Japan	Aus agypten	A	BIOLOGIE
3	Welche Sangerin spielte die Titelrolle im Film "Evita"?	Diana Ross	Whitney Houston	Gloria Estefan	Madonna	D	FILM
4	In welchem Baustil wurde die Kirche der Benediktinerabtei in Jakon erbaut?	gotisch	rumanisch	Renaissance	Barock-	B	DIE ARCHITEKTUR
5	Welcher Vogel kann ruckwarts fliegen?	Storch	Adler	Taube	Kolibri	D	BIOLOGIE
6	Wer spielt Esmeralda in der beliebten Serie?	Leticia Calderon	Lucia Santos	Salma Hayek	Imelda Marcos	A	ALLGEMEINES
7	Wer hat den Szozat vertont?	Ferenc Erkel	Mihaly Mosonyi	Austritt Beni	Franz Liszt	C	OPER
8	"Hier ist meine Hand, kein Schweinefuss!" - sagt das Sprichwort. Was hiess damals Schweinefuss?	Waffe	Schweinekeule	Gehstock	Handschuhe	A	SPRACHE
1	Auf welchem Berg in Budapest kann man nicht Ski fahren?	auf Ferihegy	auf dem Janos-Hugel	auf dem Berg Harmashatar	auf dem Szechenyi-Hugel	A	ALLGEMEINES
2	Wofur verwenden die Volker des Ostens den Kaftan?	als Pferdewerkzeug	als Kopfbedeckung	als Wasserpfeife	als Jacke	D	SPRACHE
3	Welche der folgenden Farben kann die Grundfarbe des Laubfrosches sein?	gelb	Weiss	grun	Schwarz	C	BIOLOGIE
4	In welchen der folgenden Lander ist der Franken nicht die offizielle Wahrung?	Frankreich	Luxemburg	Die Niederlande	Andorra	C	LaNDER
5	Fur welchen essbaren Teil wird Brokkoli angebaut?	fur den Stamm	fur deinen Brief	fur seine Blumen	fur seinen Wurzelstock	C	KuCHE
6	Was ist der wichtigste Exportartikel fur die OPEC-Mitgliedslander?	der Fisch	das Rohol	das Weizen	der Kaffee	B	ALLGEMEINES
7	Wie lautet der Name der Computerdatendatei?	bisschen	Datei	Byte	Basic	B	TECHNIK
8	Wie lautet der Titel von Edvard Munchs Gemalde einer verangstigten, verzweifelten Gestalt aus dem Jahr 1939?	Der Schock	Der Schrei	Das erschrockene Pferd	Das Gesicht des Schreckens	B	BILDENDE KUNST
9	Welches Mitglied der Monty-Python-Gruppe fuhrte die RTL-Klub-Zuschauer um die Welt?	Eric Leerlauf	John Cleese	Michael Palin	Terry Gilliam	C	ALLGEMEINES
10	Wie lautet Jimmy Zambos ursprunglicher Vorname?	Joseph	Stefan	Imre	John	C	MUSIK
1	Wie ist laut Notiz das Gittertor bemalt?	zu rosa	auf dem Spiel	zu lila	zu grun	D	ALLGEMEINES
2	Welcher Teil unseres Korpers nahert sich am Ende des ersten Lebensjahres seiner endgultigen Grosse?	unsere Augen	unser kleiner Zeh	wir werden	unsere Adams Eva	A	BIOLOGIE
3	Was macht der Buchmacher?	mit Toto-Tipps	mit Roulette	mit Schurhaken	mit Pferdewetten	D	ALLGEMEINES
4	Was oder wer ist Kurkuma?	turkisches Entzucken	Hautkrankheit	Kurdisches Koma	Kraut	D	SPRACHE
5	Wessen Schopfung ist im Deckenfresko der Sixtinischen Kapelle dargestellt?	Adam	Jacob	Joseph	Noah	A	RELIGION
6	In welchem Gedicht verewigte Petofi die Figur des grossen Schauspielers seiner Zeit, Karoly Megyeri?	Schauspielerisches Lied	Die Tintenflasche	Im Theater	Silvester 1847	B	LITERATUR
7	In welchem Land befinden sich die mysteriosen Steinblocke von Stonehenge?	in der Republik Sudafrika	in England	in Australien	in Kanada	B	LaNDER
8	Wer leitete die Universitat, den Rechtsvorganger der Eotvos-Lorand-Universitat, bis 1773?	Benediktiner	Publizisten	Jesuiten	Franziskaner	C	RELIGION
9	Was fur Minister waren Gyula Andrassy der altere und der Jungere?	militarische Angelegenheiten	auswartige Angelegenheiten	innere Angelegenheiten	Finanzen	B	GESCHICHTE
1	Was ist Figaros Beschaftigung in Rossinis Oper?	Juwelier	Barbier	Autovermietungen	Notenkopist	B	OPER
2	Wer oder was ist auf den vier Assen der ungarischen Karte zu sehen?	Himmel	militarische Kommandeure	Jahreszeiten	Konige	C	SPIEL
3	Welches Rindfleisch kommt in Steak Tartare?	gedampft	roh	braten	gekocht	B	KuCHE
4	Zsigmond Moricz hat eine Trilogie uber welches ungarische historische Gebiet geschrieben?	aus dem Hochland	Aus Siebenburgen	Von Del Bacska	Aus dem Burgenland	B	LITERATUR
1	Was fur Tiere halt ein Mensch mit Guppys?	springende Mause	Klapperschlangen	Zierfische	Kuhe	C	BIOLOGIE
2	Hey, von welchem Fluss weht laut Volkslied der Wind?	Von der Donau	uber Tisza	uber Szamos	uber Maros	A	ALLGEMEINES
3	Was wird aus Chicoree gemacht?	Kunstharz	zusatzlichen Kaffee	Hintergrund	Alkohol	B	ALLGEMEINES
4	Was war der Vorganger der Daguerreotypie?	Wagen	Foto	Dynamo	Teleskop	B	TECHNIK
5	Was interessiert die Person, die uber Majolika liest?	die Gewurze	ein Spiel	die Kunst des Puppenspiels	das Steingut	D	SPRACHE
6	Welches Spiel benotigt kein Spielbrett?	Konigin	Backgammon	gehen	rikiki	D	SPIEL
7	Was sturzte nach landlaufiger Meinung 1947 im amerikanischen Roswell ab?	ausserirdisches Raumschiff	Meteorit vom Mars	sowjetischer Satellit	Amerikanischer Kampfpilot	A	ALLGEMEINES
8	Wessen Stuck ist The Servant of Mr. Two?	Golden	Pirandello	Neil Simon	Moliere	A	LITERATUR
9	Wie war der fruhere Name von Taiwan?	Birma	Ceylon	Ihn	Formosa	D	LaNDER
1	Welche der folgenden ist eine Erbsenart?	bissig	federnd	Kuken	Schwatzer	C	BIOLOGIE
2	Welcher Tanz hat den gleichen Namen wie ein Frauenkleid?	Tango	Mazurka	Bolero	Rumba	C	SPRACHE
3	Was macht ein Schiff, wenn Matrosen vor Anker gehen?	wird den poty Passagier los	beginnt	Anker	schaltet auf eine hohere Drehzahl	C	ALLGEMEINES
4	Fur welches Instrument wurde Stradivari beruhmt?	Klavier	Gitarre	Violine	Kontrabass	C	OPER
5	Welche der folgenden Zutaten wird in Borschtsch nicht benotigt?	Gurke	Rote Beete	Kohl	Tomate	A	KuCHE
6	Wie hiess der Kapitan der Nationalmannschaft des Golden Teams?	Rudolf Illovsky	Lajos Baroti	Gusztav Sebes	Jozsef Hoffer	C	SPORT
7	Welches ist der einzige linke Nebenfluss der Donau in Ungarn?	Tarna	Fur ihn	Ipoly	Sio	C	ERDKUNDE
8	Was ist die SI-Einheit der Helligkeit?	Kandelaber	Lumen	Lux	Farad	A	WISSENSCHAFT
1	Welcher der folgenden war der Name eines Mannermantels?	Polizist Ausschau	Hundefanger	Schweinedieb	Katzenfahrer	C	ALLGEMEINES
2	Welche Art von Erfrischungsgetrank wird aus Obst und Milch hergestellt?	Cocktail	Milchshake	seine Freundin	Krampfblase	B	KuCHE
3	Wie sieht eine fotogene Person auf einem Foto aus?	ungunstig	vorzugsweise	ertraglich	entmutigend	B	ALLGEMEINES
4	Wer hat einen weltberuhmten Roman uber die Turmwache von Notre Dame in Paris geschrieben?	Honore de Balzac	Victor Hugo	Emil Zola	Gustav Flaubert	B	LITERATUR
5	Was fur eine Sammlung ist ein Herbarium?	Pflanze	Schmetterling	Stempel	Munze	A	SPRACHE
6	Wer hat das Kajak erfunden?	die Eskimos	die Chinesen	der Hollander	die Inkas	A	TECHNIK
7	Was ist die grosste Wuste der Erde?	Grossere Victoria-Wuste	Sahara	Wuste Gobi	Libysche Wuste	B	ERDKUNDE
8	Die Familie welcher Beruhmtheit stammt aus dem Dorf Ajtos im Komitat Bekes?	Albrecht Durer	Amerigo Tot	Toni Curtis	Richard Gere	A	ALLGEMEINES
9	Die Palo-Suppe wurde zu Ehren des Autors welcher Arbeit kreiert?	Goldener Sarg	Verwandtschaft	Sie sind Herren	Katzenspiel	C	LITERATUR
10	Welche Art von Produkt war ihr Gummi, das zuerst in Europa vermarktet wurde?	als Fahrradreifen	als Radiergummi	als Warmeisolator	als Kondom	B	TECHNIK
11	Wer hat die Quantentheorie entwickelt?	Werner Heidenberg	Erwin Schrodinger	Max Planck	Max Geboren	C	WISSENSCHAFT
12	Was trennt die Karman-Linie?	Luftraum und Weltraum	Stratosphare und Biosphare	Kontinente und Meere	dem Erdmantel und der Erdkruste	A	WISSENSCHAFT
1	Wie heisst das beliebte Kartenspiel: "Knock down ...!"	Mama	bari	Verzeihung	Baby	D	SPIEL
2	Vervollstandigen Sie den Satz: "Wer sich auf ... einlasst, wird von den Schweinen gefressen."	Kleie	saufen	Haferbrei	Russ	A	SPRACHE
3	Wie heisst der Film von Milos Forman: "Der Kuckuck fliegt …"	zu seinem Sohn	Westen	zu nisten	mit Wind	C	FILM
