Difficulty	Question	THE	B	C	D	Answer	Category
4	What was called a Spanish boot?	the shoes of the bullfighters	noble footwear	wine making tool	interrogation device	D	LANGUAGE
5	Which country is not affected by the Danube?	Bulgaria	Slovenia	Croatia	Slovakia	B	GEOGRAPHY
1	What was the famous Hungarian water bottle like?	dog hair	leather mouse	buckskin	cow udder	C	GENERAL
2	What kind of photography process takes a photo in a minute or two?	polarography	Polaroid	tomography	polder	B	TECHNIQUE
3	What Russian soldier does the band Pa-Do-Do say goodbye to?	Vladimir	Ivan	Sasa	Sergey	C	MUSIC
4	Which animal has become the symbol of Berlin?	the bull	the bear	the kangaroo	the lion	B	GENERAL
5	In which poem is the "sehonna bitang emer" mentioned?	Anthem	National song	Word	Mr Pal Pato	B	LITERATURE
6	Which famous family built a castle in Fertd?	Batthyany	Szechenyi	Esterhazy	Rakoczi	C	HUNGARY
7	What characteristic characterizes a bullish knight?	faithful	without keels	skilled	unchivalrous	C	LANGUAGE
8	Which of the following foods is called a "ball"?	the pig cheese	the hepatic loop	the goat cheese	the rye bread	A	KITCHEN
9	Which of the following is the incorrect spelling?	decoration century	assembly	clavicle	reasonable	D	LANGUAGE
10	What was the name of the ship that took the Titanic survivors on board?	Eritrea	Carpathia	Lusitania	Aurora	B	GENERAL
11	In which country is the Kalahari Desert located?	Botswana	Namibia	Zimbabwe	Republic of South Africa	A	GEOGRAPHY
12	What does the Rottweiler dog breed get its name from?	of a breed of sheep	of a color	about the name of a city	from a breeder's name	C	LANGUAGE
1	Which of the following is not a plant name?	blueberry	hawthorn	tarhonya	potato	C	BIOLOGY
2	Where does acupuncture as a medicine come from?	From China	From India	From Japan	From Egypt	A	BIOLOGY
3	Which singer played the title role in the movie "Evita"?	Diana Ross	Whitney Houston	Gloria Estefan	Madonna	D	MOVIE
4	In what architectural style was the church of the Benedictine abbey built in Jakon?	Gothic	Romanian	Renaissance	Baroque	B	ARCHITECTURE
5	Which bird can fly backwards?	stork	eagle	dove	hummingbird	D	BIOLOGY
6	Who plays Esmeralda in the popular series?	Leticia Calderon	Lucelia Santos	Salma Hayek	Imelda Marcos	A	GENERAL
7	Who set the Speech to music?	Ferenc Erkel	Mihaly Mosonyi	Egressy Beni	Ferenc Liszt	C	OPERA
8	"Here's my hand, not a pig's foot!" - says the saying. What was called a pig's foot back then?	weapon	pork leg	walking stick	gloves	A	LANGUAGE
1	Which mountain in Budapest cannot be skied on?	on Ferihegy	on Janos Hill	on Harmashatar mountain	on Szechenyi Hill	A	GENERAL
2	What do the peoples of the East use the kaftan for?	as a horse tool	as headgear	as a hookah	as a jacket	D	LANGUAGE
3	Which of the following can be the base color of the tree frog?	yellow	white	green	black	C	BIOLOGY
4	In which of the following countries is the franc not the official currency?	France	Luxembourg	The Netherlands	Andorra	C	COUNTRIES
5	For which edible part is broccoli grown?	for the stem	for your letter	for its flowers	for its rootstock	C	KITCHEN
6	What is the main export item for OPEC member countries?	the fish	the crude oil	the wheat	the coffee	B	GENERAL
7	What is the name of the computer data file?	bit	file	byte	basic	B	TECHNIQUE
8	What is the title of Edvard Munch's 1939 painting of a terrified, desperate figure?	The shock	The scream	The startled horse	The face of horror	B	FINE ARTS
9	Which member of the Monty Python group guided the RTL Klub viewers around the world?	Eric Idle	John Cleese	Michael Palin	Terry Gilliam	C	GENERAL
10	What is Jimmy Zambo's original first name?	Joseph	Stephen	Imre	John	C	MUSIC
1	According to the note, how is the lattice gate painted?	to pink	at stake	to purple	to green	D	GENERAL
2	Which part of our body approaches its final size by the end of the first year of life?	our eyes	our little toe	we will	our Adam's Eve	A	BIOLOGY
3	What does the bookmaker do?	with toto tips	with roulette	with poker	with horse racing betting	D	GENERAL
4	What or who is turmeric?	Turkish delight	skin disease	Kurdish coma	herb	D	LANGUAGE
5	Whose creation is depicted in the ceiling fresco of the Sistine Chapel?	Adam	Jacob	Joseph	Noah	A	RELIGION
6	In which poem did Petfi immortalize the character of the great actor of his time, Karoly Megyeri?	Acting song	The ink bottle	In the theater	New Year's Eve in 1847	B	LITERATURE
7	In which country are the mysterious stone blocks of Stonehenge located?	in the Republic of South Africa	in England	in Australia	in Canada	B	COUNTRIES
8	Who managed the university, the legal predecessor of Eotvos Lorand University, until 1773?	Benedictines	publicists	Jesuits	Franciscans	C	RELIGION
9	What kind of minister were Gyula Andrassy the elder and the younger?	military affairs	foreign affairs	internal affairs	finance	B	HISTORY
1	What is Figaro's occupation in Rossini's opera?	jeweler	barber	rent a car	sheet music copyist	B	OPERA
2	Who or what can be seen on the four aces of the Hungarian card?	skies	military commanders	seasons	kings	C	GAME
3	What kind of beef goes into steak tartare?	steamed	raw	roast	cooked	B	KITCHEN
4	Zsigmond Moricz wrote a trilogy about which Hungarian historical area?	from the Highlands	From Transylvania	From Del Bacska	From Burgenland	B	LITERATURE
1	What kind of animals does a person with guppies keep?	jumping mice	rattlesnakes	ornamental fish	cows	C	BIOLOGY
2	Hey, which river does the wind blow from according to the folk song?	From the Danube	About Tisza	About Szamos	About Maros	A	GENERAL
3	What is made of chicory?	synthetic resin	extra coffee	wallpaper	alcohol	B	GENERAL
4	What was the predecessor of the daguerreotype?	car	photo	dynamo	telescope	B	TECHNIQUE
5	What interests the person who reads about majolica?	the spices	a game	the art of puppetry	the earthenware	D	LANGUAGE
6	Which game does not require a game board?	queen	backgammon	go	rikiki	D	GAME
7	According to popular belief, what crashed in the American Roswell in 1947?	extraterrestrial spacecraft	meteorite from mars	soviet satellite	American fighter pilot	A	GENERAL
8	Whose play is The Servant of Mr. Two?	Golden	Pirandello	Neil Simon	Moliere	A	LITERATURE
9	What was the former name of Taiwan?	Burma	Ceylon	Hi m	Formosa	D	COUNTRIES
1	Which of the following is a type of pea?	snappy	bouncy	chick	chatterbox	C	BIOLOGY
2	Which dance has the same name as a woman's dress?	tango	mazurka	bolero	rumba	C	LANGUAGE
3	What does a ship do when sailors drop anchor?	gets rid of the poty passenger	starts	anchors	shifts to a higher speed	C	GENERAL
4	What instrument did Stradivari become famous for?	piano	guitar	violin	double bass	C	OPERA
5	Which of the following ingredients is not needed in borscht?	cucumber	beetroot	cabbage	tomato	A	KITCHEN
6	What was the name of the national team captain of the Golden Team?	Rudolf Illovszky	Lajos Baroti	Gusztav Sebes	Jozsef Hoffer	C	SPORTS
7	Which is the only left tributary of the Danube in Hungary?	Tarna	For him	Ipoly	Sio	C	GEOGRAPHY
8	What is the SI unit of brightness?	candelabra	lumens	lux	farad	A	SCIENCE
1	Which of the following was the name of a man's cloak?	cop lookout	dog catcher	pig thief	cat driver	C	GENERAL
2	What kind of soft drink is made from fruit and milk?	cocktail	milkshake	his girlfriend	cramp blister	B	KITCHEN
3	What does a photogenic person look like in a photo?	unfavorably	preferably	bearable	discouragingly	B	GENERAL
4	Who wrote a world-famous novel about the tower guard of Notre Dame in Paris?	Honore de Balzac	Victor Hugo	Emile Zola	Gustave Flaubert	B	LITERATURE
5	What kind of collection is a herbarium?	plant	butterfly	stamp	coin	A	LANGUAGE
6	Who invented the kayak?	the Eskimos	the Chinese	the Dutch	the Incas	A	TECHNIQUE
7	What is the largest desert on Earth?	Greater Victoria desert	Sahara	Gobi desert	Libyan desert	B	GEOGRAPHY
8	Which celebrity's family comes from the village of Ajtos in Bekes County?	Albrecht Durer	Amerigo Tot	Tony Curtis	Richard Gere	A	GENERAL
9	Palo soup was created in honor of the author of which work?	Golden coffin	Relatives	They are gentlemen	Cat game	C	LITERATURE
10	What kind of product was their rubber first marketed in Europe?	as bicycle tires	as an eraser	as a heat insulator	as a condom	B	TECHNIQUE
11	Who developed quantum theory?	Werner Heisenberg	Erwin Schrodinger	Max Planck	Max Born	C	SCIENCE
12	What does the Karman line separate?	airspace and outer space	the stratosphere and the biosphere	continents and seas	the earth's mantle and the earth's crust	A	SCIENCE
1	What is the name of the popular card game: "Knock down ...!"	mommy	bari	sorry	baby	D	GAME
2	Complete the sentence: "Whoever gets involved in ... will be eaten by the pigs."	bran	swill	porridge	soot	A	LANGUAGE
3	What is the title of Milos Forman's film: "The cuckoo flies..."	to his son	west	to nest	with wind	C	MOVIE
4	What was the nationality of the great fairy tale writer Andersen?	Swedish	Danish	German	Dutch	B	LITERATURE
5	Who was the first drummer of the band Omega?	Janos Solti	Ferenc of Debrecen	Jozsef Laux	Oszkar Nemeth	C	MUSIC
6	Where was Minotaur's famous labyrinth?	Malta	in Cyprus	Crete	in Corsica	C	HISTORY
7	What do Turks call halva?	a kind of candy	a kind of turban	the sultan's harem	the Turkish coffee house	A	LANGUAGE
8	Who is called the "father of the hydrogen bomb"?	Ed Teller	Enrico Fermi	Robert Oppenheimer	Solid Leo	A	SCIENCE
9	Who among the following actresses did not receive an Oscar for any of their performances?	Greta Garbo	Audrey Hepburn	Olivia de Havilland	Bette Davis	A	MOVIE
1	What do we call canastha?	the khan's assistant	male model	award-winning kandur	card game	D	LANGUAGE
2	What "lady" is the title character of the work of Alexander Dumas the Younger?	aniseed	camellia	chamomile	cameo	B	LITERATURE
3	What is the name of Captain Nemo's ship?	Kon-Tiki	Mayflower	Nautilus	Santa Maria	C	LITERATURE
4	Who or what did the Trappist cheese get its name from?	about a monastic order	about a French winemaker	from a Dutch pasture	about cow breed	A	LANGUAGE
5	Which of the following is not a plant?	buttercup	lily of the valley	yew flower	a bunch	C	BIOLOGY
6	Which of the following animals is not extinct?	dinosaur	Mauritian dodo	mammoth	tapir	D	BIOLOGY
7	Which of our famous historical figures' names is spelled incorrectly?	Lajos Kossuth	Mihaly Vorosmarty	Istvan Szechenyi	Lajos Batthany	D	LANGUAGE
8	Who among the following actresses did not play Batman's partner?	Kim Basinger	Nicole Kidman	Isabella Rossellini	Michelle Pfeiffer	C	MOVIE
9	Whose picture can be seen on the green underside of the Hungarian card?	Rudenz Ulrich	Reading Itell	Furst Walter	Rudolph Harras	C	GAME
10	What is the wind like in arpad Toth's poem aprilisi capriccio?	soaked in rain	fiery from the sun	full of dandelions	loud with birdsong	C	LITERATURE
1	What does a man called a rag-picker like?	to make big	dance	to do the washing up	delete port	A	GENERAL
2	Fidel Castro is the president of which country?	Mexico	Jamaica	Cuba	Panama	C	HISTORY
3	Which chemical element is used to disinfect water?	the bromine	the manganese	the chlorine	the magnesium	C	SCIENCE
4	What did the old Hungarians call the Road of Wars?	the route of the conquest	the Milky Way	the main road to Vienna	the honeymoon	B	HISTORY
5	Which of the following is called a pram?	sailing ship	horse carriage	pocket knife	knee breeches	B	LANGUAGE
6	After whom were the volcanoes named?	of a Roman god	about a Mongol ruler	from an island	about an ancient city	A	LANGUAGE
7	How long do we call a cow a heifer?	until one month old	until it passes	until the age of two	until the last calving	B	BIOLOGY
8	What do Parisians "nickname" the Eiffel Tower?	the giant	the drilling rig	the giraffe	the old lady	D	GENERAL
9	Which rock musician received the most Grammy awards in 2000?	Phil Collins	Stevie Wonder	Carlos Santana	Eric Clapton	C	MUSIC
10	How many jerseys did ocsi Puskas wear in the Golden Team?	10	9	number 8	11th	A	SPORTS
11	Based on whose fairy tale did Gyorgy Ranki write the opera "The Pomade King's New Clothes"?	Brothers Grimm	Benedict Elek	La Fontaine	Andersen	D	OPERA
1	What is the name of the fruit juice fermented for making brandy?	digit	mash	it's quick	string bag	B	KITCHEN
2	What do octane numbers indicate?	horse racing rankings	load capacity of steel	the quality of gasoline	sound range	C	GENERAL
3	Which animal that is still alive today can exceed 30 meters in length?	bottlenose dolphin	blue whale	robust snake	giant tortoise	B	BIOLOGY
4	The hard magnetic disk storage of the computer is named after which weapon?	about the torpedo	about the revolver	of winchester	about the colt	C	GENERAL
5	The leaf of which tree can be seen in Canada's coat of arms?	maple	oak	on the candle	birch	A	COUNTRIES
6	Where can we visit the Margit Kovacs Museum in Hungary?	in Kaposvar	Pecs	Pope	Szentendre	D	HUNGARY
7	What kind of relative was called in-law?	the father-in-law	the mother-in-law	the brother-in-law	the uncle	A	GENERAL
8	What is the name of the cathedral in Szeged?	Saint Stephen's Cathedral	Votive church	Saint George's Church	Calvary Church	B	RELIGION
9	"Zenegep" was the LP of which Hungarian band?	Phonograph	Generate	Carthage	Corvina	B	MUSIC
10	Who did Cornelius Scipio defeat in the Battle of Zama in 202 BC?	Alexander the Great	Spartacus	Hannibal	Darius	C	HISTORY
11	In which sport did we win our first world championship gold medal?	in table tennis	in fencing	in figure skating	in sport shooting	C	SPORTS
1	What is porcini?	susterina	kind of mushroom	type of wading bird	grindery	B	LANGUAGE
2	Who was Rocinante's Don Quixote?	his horse	its owner	his servant	his love	B	LITERATURE
3	What is Milan's Scala famous for?	about his opera performances	about his spaghetti	about his ice cream	about his mineralogy exhibitions	A	GENERAL
4	Which of the following is the name of a single-masted sailboat?	dinghy	dinner	dimer	jig	A	SPORTS
5	Which musical instrument was Aladar Racz an artist?	dulcimer	zither	Celestial	clarinet	A	OPERA
6	What is the modern name of the sacred beetle of the ancient Egyptians, the scarab?	stag beetle	ladybird	scuttlebutt beetle	cantharis	C	BIOLOGY
7	Where did the "turn" happen?	in Tarsus	In Jerusalem	on the road to Damascus	on the way to Rome	C	HISTORY
8	Who were the negus?	Central African tribe	Ethiopian emperors	American slaves	Praetorian civil rights fighters	B	HISTORY
1	What device is aron Gabor famous for?	about copper cannon	about a water cannon	about storm cannon	about goulash cannon	A	HISTORY
2	What food is named after the author of Black Diamonds?	chicken soup	beef soup	bean soup	the black soup	C	LITERATURE
3	Which river is Paris?	Seine	Rhône	Garonne	Loire	A	GEOGRAPHY
4	"The Wall" was a hit by which band?	Pink Floyd	Genesis	Rolling Stones	Queen	A	MUSIC
5	Which country did the Sun King rule?	France	Russia	Austria	Spain	A	HISTORY
6	What is the connection between Mihaly Pollack and the building of the National Museum?	he was its first director	he designed it	helped him with a donation	he restored it	B	HISTORY
7	What shape bacteria are bacilli?	stick	sphere	screw	cone	A	BIOLOGY
8	How many stations did Jesus Christ go through on the Way of the Cross?	7	14	10	12	B	RELIGION
9	Who discovered penicillin?	Sir Alexander Fleming	Paul Ehrlich	Howard Temin	Robert Koch	A	BIOLOGY
10	Which city's famous beach is Copacabana?	Barcelona	Rio de Janeiro	Havana	Buenos Aires	B	COUNTRIES
11	Who hasn't played the legendary James Bond?	Sean Connery	George Lazenby	Timothy Hutton	Timothy Dalton	C	MOVIE
12	Who was the greatest ragtime composer?	Scott Joplin	Irving Berlin	Glenn Miller	Cole Porter	A	MUSIC
13	What does the name of the still existing Mohican tribe mean in Hungarian?	the son of the bison	fast horse	bear	wolf	D	LANGUAGE
1	What is the French key used for?	to close the Louvre	to open chastity belts	to tighten the nut	for language learning	C	GENERAL
2	Zoltan Fabri's classic movie got its title from which fairground nightclub?	Target shot	A roller coaster	Carousel	Sausages	C	MOVIE
3	When does the hawthorn's dress glow in Sandor Weores's poem?	when you try it on	if held in fire	autumn night	while taking	C	LITERATURE
4	Who designed the Parliament building?	Karoly Lotz	Imre Steindl	Frigyes Schulek	Ignac Alpar	B	ARCHITECTURE
