Nehezseg	Kerdes	A	B	C	D	Valasz	Kategoria
2	Mi a neve a him szamarnak?	kan	men	uno	csodor	D	BIOLoGIA
3	Mi tortenik a mimoza levelevel, ha megerintjuk?	elporlad	szetnyilik	osszecsukodik	festekanyagot spriccel	C	BIOLoGIA
4	Az alabbiak kozul ki a Feherlofia cimu nepmese szereploje?	Bokorugro	Fanyuvo	Fuvago	Fenyodonto	B	IRODALOM
5	Ki az a hires amerikai kosarlabda-jatekos, aki az RTL Klub Zsoldosok cimu sorozataban szerepel?	Jordan	Barkley	Rodman	Pippen	C	SPORT
6	Mivel foglalkozott idosebb Rubik Erno?	urkutatassal	repulogep-epitessel	jatekgyartassal	gepkocsigyartassal	B	TECHNIKA
7	Milyen szinu lesz a lakmuszpapir sav hatasara?	sarga	zold	voros	kek	C	TUDOMaNY
1	Mit csinal a mondas szerint, aki "igaba hajtja a fejet"?	elvalik	tehenet fej	megnosul	eket tesztel	C	NYELV
2	Az alabbiak kozul melyik nem marhahus?	belszin	dagado	rostelyos	felsal	B	KONYHA
3	Miket lathatunk egy skanzenben?	eremgyujtemenyeket	tomegkozlekedesi eszkozoket	falusi epuleteket	operaeloadasokat	C	aLTALaNOS
4	Mivel jatsszak a marokko nevu jatekot?	kockakkal	kartyaval	palcikakkal	dominoval	C	JaTeK
5	Ki komponalta a West Side Story cimu musical zenejet?	George Gershwin	Leonard Bernstein	Maurice Ravel	Nino Rota	B	ZENE
6	Hol epitettek hidat az angol hadifoglyok David Lean filmjeben?	tul messze	a Zambezin	a Kwai folyon	a Szakvenen	C	FILM
7	Hogyan neveztek a kozak katonai parancsnokot?	kelevez	ataman	atanaz	ottoman	B	ToRTeNELEM
8	Melyik az a ruhaipari anyag, amelyet fiatal kecske borebol keszitenek?	sevro	szaten	velur	nubuk	A	BIOLoGIA
1	Az alabbiak kozul melyik egy sutemeny neve?	anyosnyelv	noiszeszely	pletyka	noiszirom	B	KONYHA
2	Melyik orszagot neveztek a Nilus ajandekanak?	Assziriat	Egyiptomot	Kinat	Mezopotamiat	B	ToRTeNELEM
3	Milyen lapot mutat fel a jatekvezeto a labdarugasban kiallitaskor?	rozsaszint	sargat	pirosat	feketet	C	SPORT
4	Melyik szoros szabalyozasanak tervet keszitette Vasarhelyi Pal?	Bering	Vaskapu	Thermopulai	Gibraltari	B	TECHNIKA
5	Melyik orszag vallasi es politikai vezetoje volt Komeini ajatollah?	Jordania	Iran	Irak	Szaud-Arabia	B	ToRTeNELEM
6	Az auto melyik alkatreszet talalta fel Banki Donat es Csonka Janos?	a fekbetetet	a sebessegvaltot	a lengescsillapitot	a porlasztot	D	TECHNIKA
7	Ki tervezte a barcelonai Sagrada Familia katedralist?	Fernan Cabailero	Le Corbusier	Walter Gropius	Antonio Gaudi	D	TECHNIKA
8	Mi volt az egri Liceum Spekula nevu epulete?	kaszino	kereskedohaz	csillagvizsgalo	konyvtar	C	aLTALaNOS
9	Mi a neve a jo tanulonak Karinthy Tanar ur kerem cimu muveben?	Wasserkopf	Frohlich	Steinmann	Bauer	C	IRODALOM
1	Melyik nem a francia kartya szine?	pikk	karo	tok	treff	C	JaTeK
2	Miert szoritja meg ujjunkat egy ujszulott csecsemo?	igy ker enni	a fogoreflex miatt	szorit ertunk	hogy figyeljunk ra	B	BIOLoGIA
3	Milyen ruhadarabot visel, aki neglizseben van?	halokontost	terdnadragot	kiskosztumot	labszarvedot	A	aLTALaNOS
4	Melyik konyhakerti novenyt termesztik eheto viragzataert?	retek	zeller	karfiol	fejes kaposzta	C	KONYHA
5	Melyik varosban lottek le John Lennont?	Los Angelesben	Londonban	New Yorkban	Liverpoolban	C	ZENE
6	Mivel keltette eletre teremtmenyet dr. Frankenstein az eredeti tortenetben?	klonozassal	csokkal	magneses indukcioval	elektromossaggal	D	IRODALOM
7	Melyik varos resze Hollywood, a "film fovarosa"?	Los Angeles	Las Vegas	New York	Detroit	A	FILM
8	Melyik egy finnugor nep neve?	szamojed	szingalez	alemann	med	A	NYELV
9	Mit neveznek a Kecskemet kornyeki nyelvjarasban garabonak?	egy teli pulovert	egy fules kosarat	a golyat	a jol tanulo diakot	B	NYELV
10	Melyik orszagban talalhato a Szent Andras-toresvonal?	Ausztralia	USA	Mexiko	Kanada	B	FoLDRAJZ
11	Melyik irodalmi ujsag indult 1916-ban?	Kelet Nepe	Nyugat	Ma	Pesti Hirlap	C	IRODALOM
12	Milyen gyartasu gozmozdonyok kozlekedtek az elso magyar gozuzemu vasutvonalon?	angol	nemet	amerikai	belga	D	TECHNIKA
1	"Mennyit er" az ertektelen aru?	egy krajcart	egy fabugyellarist sem	egy lepedot	egy fabatkat sem	D	aLTALaNOS
2	Az egyik magyar nepmeseben egig er a paszuly. Milyen noveny ez a valosagban?	jegenye	bab	gaz	borso	B	BIOLoGIA
3	Melyik testreszunk csontjai: a kalapacs, az ullo es a kengyel?	a lab	a kez	a vall	a ful	D	BIOLoGIA
4	Hol talaltak fel a homerseklet-valtozasokra erzeketlen uveget?	Muchenben	Weimarban	Jenaban	Herenden	C	TECHNIKA
5	Mi a sorbet?	barnasor-fajta	sorteszta	sos sorkorcsolya	edes gyumolcsle	D	KONYHA
6	Hogyan tajekozodnak ejszaka a deneverek?	ultrahanggal	karmaikkal	szarnyaikkal	faroktollaikkal	A	BIOLoGIA
7	Milyen kulonleges kepet keszit a Nobel-dijas Gabor Denes talalmanya?	digitalis kepet	hologramot	piktogramot	gyorsfenykepet	B	TECHNIKA
8	Az alabbiak kozul ki nem szamit gyalogosnak a KRESZ szerint?	aki kerekpart tol	aki segedmotoros kerekpart tol	aki talicskat tol	aki allatokat terel	D	aLTALaNOS
1	Mi tortenik annak az embernek az allaval, aki ehen marad?	leesik	felkopik	megrandul	borostas lesz	B	aLTALaNOS
2	Az alabbi "tejtermekek" kozul melyik novenynev?	bikatej	kantorturo	bikavaj	papsajt	D	BIOLoGIA
3	Hol rendeztek a gladiatorjatekokat az okori romaiak?	amforaban	agoran	amfiteatrumban	termaban	C	ToRTeNELEM
4	Az alabbiak kozul melyik mu fuzodik Szechenyi Istvan nevehez?	A vadaszebekrul	A lovakrul	A szarvasmarhakrul	A ketfeju sasrul	B	ToRTeNELEM
5	Mi Albania penzneme?	leva	lej	lek	lwei	C	ORSZaGOK
6	Kinek a nevehez fuzodik a mondas: "A kocka el van vetve"?	Szokratesz	Thalesz	Julius Caesar	Rubik Erno	C	aLTALaNOS
7	Minek a tarolasara szolgalt a butelia?	dohany	palinka	fuszer	tinta	B	aLTALaNOS
8	Milyen stilusban epult az esztergomi foszekesegyhaz?	barokk	neoroman	neoreneszansz	klasszicista	D	ePiTeSZET
9	Mit jelent az imat lezaro "amen" szo?	vege	az urhoz	mindorokke	ugy legyen	D	NYELV
10	Minek a roviditese az MTK?	Magyar Testnevelesi Klub	Magyar Testgyakorlok Kore	Magyar Torna Klub	Magyar Tornaszok Kore	B	SPORT
11	Melyik orszag nem hataros Braziliaval?	Ecuador	Guyana	Paraguyay	Bolivia	A	ORSZaGOK
12	Hol jatszodik Bernstein "West Side Story" cimu musicalje?	San Franciscoban	Los Angelesben	New Yorkban	Londonban	C	ZENE
1	"Mit csinalj" a sorrel a Fonograf egyuttes slagerenek cime szerint?	Dontsd be!	Lokd ide!	Fizesd ki!	Kuld le!	B	ZENE
2	Hogy nevezik az ajtokeret felso, vizszintes fajat?	homlokfa	szofa	szemoldokfa	kapufa	C	aLTALaNOS
3	Hogyan kapcsolodik az igazsagszolgaltatashoz a talar?	a biroi kalapacs neve	buntetoeszkoz volt	a biroi palast neve	ugyvedi pecset neve	C	aLTALaNOS
4	Mire hasznaljak az azsiai nepek a dzsunkat?	rizspalinka fozesere	hajozasra	selyemszovesre	petarda keszitesere	B	aLTALaNOS
5	Mivel tartositanak a kandirozas soran?	soval	ecettel	cukorral	szesszel	C	KONYHA
6	Kinek a felesege volt Andrassy Katinka, a "voros grofno"?	Andrassy Gyula	Tisza Kalman	Karolyi Mihaly	Eotvos Jozsef	C	ToRTeNELEM
7	Melyik szinhaz igazgatoja volt Major Tamas?	Madach Szinhaz	Nemzeti Szinhaz	Vigszinhaz	Pesti Szinhaz	B	SZiNHaZ
8	Milyen noveny a borbolya?	moha	fenyofele	pafrany	gombafele	B	BIOLoGIA
1	A kozhiedelem szerint hol puhitottak oseink a hust?	nyereg alatt	kerek alatt	patko alatt	sos kutban	A	ToRTeNELEM
2	Kik hordtak a partat?	a felesegek	a hajadonok	az ozvegyek	a menyecskek	B	aLTALaNOS
3	Melyik ercbol allitjak elo az aluminiumot?	rezbol	bauxitbol	vasercbol	nikkelbol	B	TECHNIKA
4	Milyen tavasz szerepel a Karady Katalin foszereplesevel keszult film cimeben?	zaporos	vegzetes	halalos	bolondos	C	FILM
5	Melyik Verdi-operaban hangzik el "Az asszony ingatag" kezdetu aria?	Otello	Don Carlos	Rigoletto	Traviata	C	OPERA
6	Az elolenyek milyen kepessege a mimikri?	szarazsagtures	fenyenergia-atalakitas	szin- es alakutanzas	szaganyag-felismeres	C	BIOLoGIA
7	Hogyan nevezik a biborosok papavalaszto gyuleset?	konvent	konkordatum	kongregacio	konklave	D	VALLaS
8	Ki jatszotta Janos vitezt Kacsoh Pongrac daljatekanak bemutatojan?	Sardy Janos	Fedak Sari	Blaha Lujza	Ujhazi Ede	D	SZiNHaZ
9	A KRESZ szerint mekkora sebesseggel kozlekedhet a segedmotoros kerekpar a kerekparuton?	legfeljebb 15 km/ora	legfeljebb 30 km/ora	legfeljebb 20 km/ora	legfeljebb 10 km/ora	C	aLTALaNOS
10	Melyik volt az Illes egyuttes elso nagylemeze?	Illesek es pofonok	Add a kezed!	Nehez az ut	Ne sirjatok lanyok!	C	ZENE
1	Milyen "kamraban" dolgoznak a fenykepeszek?	eles	eles	sotet	komor	C	aLTALaNOS
2	Melyik allat neve egyezik meg egy nyakban hordott noi ruhadarab nevevel?	nandu	boa	alpaka	naja	B	aLTALaNOS
3	Melyik mai allam teruleten eltek az aztekok?	Guatemala	Peru	Kolumbia	Mexiko	D	ToRTeNELEM
4	Az alabbiak kozul melyiket nevezik kotlettnek?	a serdulo csirket	a konnyuveru holgyet	a kotnyeles lettet	a serteskarajt	D	NYELV
5	Kik keszitettek eloszor szakocat?	a favago ceh inasai	az osemberek	a bakonyi betyarok	az apacsok	B	ToRTeNELEM
6	Ki kerul kozelebbi kapcsolatba a tizennegy karatos autoval a Rejto-regenyben?	Gorcsev Ivan	Fulig Jimmy	Tusko Hopkins	az igazi Trebitsch	A	IRODALOM
7	Melyik sportagban volt elvonalbeli versenyzo Karinthy Ferenc, a kituno iro?	vizilabdaban	labdarugasban	teniszben	atletikaban	A	SPORT
8	Kinek a palotaja volt a mitologia szerint a Valhalla?	Morrigan	Krisna	Odin	Ozirisz	C	VALLaS
9	Melyik orszagnak van a legtobb szomszedja?	Oroszorszag	Kina	Szudan	Brazilia	A	ORSZaGOK
1	Mit kialtott Arkhimedesz a furdokadbol kiugorva, mikor rajott hires torvenyere?	Demokracia!	Olimpia!	Anarchia!	Heureka!	D	TUDOMaNY
2	A Beatles-egyuttes melyik tagja viselt szemuveget?	John Lennon	Paul McCartney	George Harrison	Ringo Starr	A	ZENE
3	Az alabbiak kozul melyikbol keszitik a soletet?	zoldborso	lencse	szarazbab	sargaborso	C	KONYHA
4	Mit neveztek spanyolcsizmanak?	a torreadorok cipojet	nemesi labbelit	borkeszito eszkozt	vallatoeszkozt	D	NYELV
5	Melyik orszagot nem erinti a Duna?	Bulgariat	Szloveniat	Horvatorszagot	Szlovakiat	B	FoLDRAJZ
1	Milyen volt a hires magyar kulacs?	kutyaszoros	boregeres	csikoboros	tehentogyes	C	aLTALaNOS
2	Milyen fenykepezesi eljaras soran keszul el a fenykep egy-ket perc alatt?	polarografia	polaroid	tomografia	polder	B	TECHNIKA
3	Melyen nevu orosz katonatol bucsuzik a Pa-Do-Do egyuttes?	Vlagyimir	Ivan	Szasa	Szergej	C	ZENE
4	Melyik allat valt Berlin jelkepeve?	a bika	a medve	a kenguru	az oroszlan	B	aLTALaNOS
5	Melyik versben szerepel a "sehonnai bitang ember"?	Himnusz	Nemzeti dal	Szozat	Pato Pal ur	B	IRODALOM
6	Melyik neves csalad epitett kastelyt Fertodon?	Batthyany	Szechenyi	Esterhazy	Rakoczi	C	MAGYARORSZaG
7	Milyen tulajdonsag jellemez egy konjunkturalovagot?	huseges	gancs nelkuli	ugyeskedo	lovagiatlan	C	NYELV
8	Az alabbi etelek kozul melyiket nevezik "gombocnek"?	a disznosajtot	a majas hurkat	a kecskesajtot	a rozscipot	A	KONYHA
9	Az alabbiak kozul melyik a helytelen irasmod?	diszszazad	nagygyules	kulcscsont	eszszeru	D	NYELV
10	Mi volt a neve annak a hajonak, amely fedelzetere vette a Titanic tuleloit?	Eritrea	Carpathia	Lusitania	Aurora	B	aLTALaNOS
11	Melyik orszag teruleten talalhato a Kalahari-sivatag?	Botswana	Namibia	Zimbabwe	Del-afrikai Koztarsasag	A	FoLDRAJZ
12	Mirol kapta a nevet a rottweiler kutyafajta?	egy juhfajtarol	egy szinrol	egy varos neverol	egy tenyeszto neverol	C	NYELV
1	Az alabbiak kozul melyik nem novenynev?	afonya	galagonya	tarhonya	burgonya	C	BIOLoGIA
2	Honnan ered az akupunktura mint gyogymod?	Kinabol	Indiabol	Japanbol	Egyiptombol	A	BIOLoGIA
3	Melyik enekesno jatszotta az "Evita" cimu film cimszerepet?	Diana Ross	Whitney Houston	Gloria Estefan	Madonna	D	FILM
4	Zommel milyen epiteszeti stilusban epult Jakon a bences apatsag temploma?	gotikus	roman	reneszansz	barokk	B	ePiTeSZET
5	Melyik madar tud hatrafele is repulni?	golya	sas	galamb	kolibri	D	BIOLoGIA
6	Ki alakitja Esmeraldat a nepszeru sorozatban?	Leticia Calderon	Lucelia Santos	Salma Hayek	Imelda Marcos	A	aLTALaNOS
7	Ki zenesitette meg a Szozatot?	Erkel Ferenc	Mosonyi Mihaly	Egressy Beni	Liszt Ferenc	C	OPERA
8	"Itt a kezem, nem disznolab!" - szol a mondas. Mit neveztek akkoriban disznolabnak?	fegyvert	sertescombot	vandorbotot	kesztyut	A	NYELV
1	Melyik budapesti hegyen nem lehet sielni?	a Ferihegyen	a Janos-hegyen	a Harmashatar-hegyen	a Szechenyi-hegyen	A	aLTALaNOS
2	Mire hasznaljak a keleti nepek a kaftant?	loszerszamkent	fejfedokent	vizipipakent	kabatkent	D	NYELV
3	Az alabbiak kozul milyen alapszinu lehet a levelibeka?	sarga	feher	zold	fekete	C	BIOLoGIA
4	Az alabbiak kozul melyik orszagban nem a frank a hivatalos penznem?	Franciaorszag	Luxemburg	Hollandia	Andorra	C	ORSZaGOK
5	Melyik eheto reszert termesztik a brokkolit?	a szaraert	a levelert	a viragzataert	a gyokertorzsert	C	KONYHA
6	Mi a fo exportcikke az OPEC tagorszagoknak?	a hal	a koolaj	a buza	a kave	B	aLTALaNOS
7	Mi a neve a szamitogepes adatallomanynak?	bit	fajl	byte	basic	B	TECHNIKA
8	Mi a cime Edvard Munch 1939-es kepenek, mely egy remult, ketsegbeesett alakot abrazol?	A sokk	A sikoly	A megriadt lo	A remulet arca	B	KePZoMuVeSZET
9	A Monty Python-csoport mely tagja kalauzolta az RTL Klub nezoit a vilag korul?	Eric Idle	John Cleese	Michael Palin	Terry Gilliam	C	aLTALaNOS
10	Mi Zambo Jimmy eredeti keresztneve?	Jozsef	Istvan	Imre	Janos	C	ZENE
1	A nota szerint milyenre van a racsos kapu festve?	rozsaszinure	kockasra	lilara	zoldre	D	aLTALaNOS
2	Melyik testreszunk kozeliti meg az elso eletev vegere vegleges nagysagat?	szemunk	kis labujjunk	fogunk	adamcsutkank	A	BIOLoGIA
3	Mivel foglalkozik a bukmeker?	tototippekkel	rulettel	pokerrel	loverseny-fogadassal	D	aLTALaNOS
4	Mi vagy ki a kurkuma?	torok nyalanksag	borbetegseg	kurd koma	fuszernoveny	D	NYELV
5	Kinek a teremteset abrazolja a Sixtus-kapolna mennyezetfreskoja?	adam	Jakob	Jozsef	Noe	A	VALLaS
6	Petofi melyik verseben orokitette meg kora nagy szinesze, Megyeri Karoly alakjat?	Szineszdal	A tintasuveg	Szinhazban	Szilveszter eje 1847-ben	B	IRODALOM
7	Melyik orszagban talalhato a Stonehenge titokzatos kotombjei?	a Del-afrikai Koztarsasagban	Angliaban	Ausztraliaban	Kanadaban	B	ORSZaGOK
8	Kik iranyitottak az Eotvos Lorand Tudomanyegyetem jogelodjenek szamito egyetemet 1773-ig?	bencesek	piaristak	jezsuitak	ferencesek	C	VALLaS
9	Milyen miniszter volt az idosebb es az ifjabb Andrassy Gyula is?	hadugy	kulugy	belugy	penzugy	B	ToRTeNELEM
1	Mi a foglalkozasa Figaronak Rossini operajaban?	ekszeresz	borbely	berkocsis	kottamasolo	B	OPERA
2	Kik vagy mik lathatok a magyar kartya negy aszan?	egtajak	hadvezerek	evszakok	kiralyok	C	JaTeK
3	Milyen marhahus kerul a tatar bifsztekbe?	parolt	nyers	sult	fott	B	KONYHA
4	Melyik magyar tortenelmi teruletrol irt Moricz Zsigmond trilogiat?	a Felvidekrol	Erdelyrol	Del-Bacskarol	Burgenlandrol	B	IRODALOM
1	Milyen allatokat tart, akinek guppijai vannak?	ugroegereket	csorgokigyokat	diszhalakat	teheneket	C	BIOLoGIA
2	Hej, melyik folyo felol fuj a szel a nepdal szerint?	Dunarol	Tiszarol	Szamosrol	Marosrol	A	aLTALaNOS
3	Mit keszitenek a cikoriabol?	mugyantat	potkavet	tapetat	alkoholt	B	aLTALaNOS
4	Minek az elodje volt a dagerrotipia?	gepkocsi	fenykep	dinamo	tavcso	B	TECHNIKA
5	Mi erdekli azt az embert aki majolikakrol olvas?	a fuszerek	egy jatek	a babmuveszet	a cserepedenyek	D	NYELV
6	Melyik jatekhoz nincs szukseg jatektablara?	dama	backgammon	go	rikiki	D	JaTeK
7	A kozhiedelem szerint mi zuhant le az amerikai Roswellben 1947-ben?	foldon kivuli urhajo	marsrol szarmazo meteorit	szovjet muhold	amerikai vadaszrepolo	A	aLTALaNOS
8	Kinek a szinmuve a Ket ur szolgaja?	Goldoni	Pirandello	Neil Simon	Moliere	A	IRODALOM
9	Mi volt Tajvan korabbi neve?	Burma	Ceylon	Sziam	Formosa	D	ORSZaGOK
1	Az alabbiak kozul melyik egy borsofajta?	csattano	pattogo	csicseri	csacsogo	C	BIOLoGIA
2	Melyik tanc neve egyezik meg egy noi ruha nevevel?	tango	mazurka	bolero	rumba	C	NYELV
3	Mit csinal egy hajo, amikor a matrozok kidobjak az ankert?	megszabadul a potyautastol	elindul	lehorgonyoz	nagyobb sebessegre valt	C	aLTALaNOS
4	Milyen hangszer keszitojekent valt hiresse Stradivari?	zongora	gitar	hegedu	nagybogo	C	OPERA
5	Az alabbi hozzavalok kozul melyik nem kell a borscsba?	uborka	cekla	kaposzta	paradicsom	A	KONYHA
6	Hogy hivtak az Aranycsapat szovetsegi kapitanyat?	Illovszky Rudolf	Baroti Lajos	Sebes Gusztav	Hoffer Jozsef	C	SPORT
7	Melyik a Duna egyetlen bal oldali mellekfolyoja Magyarorszagon?	Tarna	Raba	Ipoly	Sio	C	FoLDRAJZ
8	Mi a fenyerosseg SI mertekegysege?	kandela	lumen	lux	farad	A	TUDOMaNY
1	Az alabbiak kozul melyik volt egy ferfikopeny neve?	pandurleso	kutyafogo	malaclopo	macskahajto	C	aLTALaNOS
2	Milyen uditoitalt keszitenek gyumolcsbol es tejbol?	koktelt	turmixot	csajat	krampampulit	B	KONYHA
3	Hogy nez ki a fotogen ember a fenykepen?	elonytelenul	elonyosen	elviselhetoen	elrettentoen	B	aLTALaNOS
4	Ki irt vilaghiru regenyt a parizsi Notre Dame toronyorerol?	Honore de Balzac	Victor Hugo	Emile Zola	Gustave Flaubert	B	IRODALOM
5	Milyen gyujtemeny a herbarium?	noveny	lepke	belyeg	erme	A	NYELV
6	Kik talaltak fel a kajakot?	az eszkimok	a kinaiak	a hollandok	az inkak	A	TECHNIKA
7	Melyik a Fold legnagyobb sivataga?	Nagy-Viktoria -sivatag	Szahara	Gobi-sivatag	Libiai-sivatag	B	FoLDRAJZ
8	Melyik hiresseg csaladja szarmazik a Bekes megyei Ajtos kozsegbol?	Albrecht Durer	Amerigo Tot	Tony Curtis	Richard Gere	A	aLTALaNOS
9	Melyik mu irojanak tiszteletere alkottak meg a paloclevest?	Aranykoporso	Rokonok	Gavallerok	Macskajatek	C	IRODALOM
10	Milyen termekkent hoztak eloszor forgalomba Europaban a kaucsukot?	kerekpar-abroncskent	radirkent	hoszigetelokent	ovszerkent	B	TECHNIKA
11	Ki dolgozta ki a kvantumelmeletet?	Werner Heisenberg	Erwin Schrodinger	Max Planck	Max Born	C	TUDOMaNY
12	Miket valaszt el egymastol a Karman-vonal?	a legi teret es a vilagurt	a sztratoszferat es a bioszferat	a kontinenseket es a tengereket	a foldkopenyt es a foldkerget	A	TUDOMaNY
1	Mi a neve a nepszeru kartyajateknak: "Csapd le ...!"	mami	bari	boci	csacsi	D	JaTeK
2	Egeszitse ki a szolast: "Aki ... koze keveredik, megeszik a disznok."	korpa	moslek	kasa	konkoly	A	NYELV
3	Mi a cime Milos Forman filmjenek: "Szall a kakukk ..."	fiahoz	nyugatra	feszkere	szellel	C	FILM
4	Milyen nemzetisegu volt a nagy meseiro, Andersen?	sved	dan	nemet	holland	B	IRODALOM
5	Ki volt az Omega egyuttes elso dobosa?	Solti Janos	Debreceni Ferenc	Laux Jozsef	Nemeth Oszkar	C	ZENE
6	Hol volt Minotaurosz hires labirintusa?	Maltan	Cipruson	Kretan	Korzikan	C	ToRTeNELEM
7	Mit neveznek a torokok halvanak?	egy edessegfajtat	egy turbanfajtat	a szultan haremet	a torok kavehazat	A	NYELV
8	Kit neveznek a "hidrogenbomba atyjanak"?	Teller Edet	Enrico Fermit	Robert Oppenheimert	Szilard Leot	A	TUDOMaNY
9	Ki nem kapott egyik alakitasaert sem Oscar-dijat az alabbi szinesznok kozul?	Greta Garbo	Audrey Hepburn	Olivia de Havilland	Bette Davis	A	FILM
1	Mit nevezunk kanasztanak?	a kanasz segedjet	ferfimodellt	dijnyertes kandurt	kartyajatekot	D	NYELV
2	Milyen "holgy" ifjabb Alexander Dumas muvenek cimszereploje?	kokorcsines	kamelias	kamillas	kameas	B	IRODALOM
3	Mi Nemo kapitany hajojanak a neve?	Kon-Tiki	Mayflower	Nautilus	Santa Maria	C	IRODALOM
4	Kirol vagy mirol kapta a nevet a trappista sajt?	szerzetesrendrol	francia boraszrol	holland legelorol	tehenfajtarol	A	NYELV
5	Melyik nem noveny az alabbiak kozul?	boglarka	gyongyvirag	tiszavirag	csombor	C	BIOLoGIA
6	Melyik nem kihalt allat az alabbiak kozul?	dinoszaurusz	mauritiusi dodo	mamut	tapir	D	BIOLoGIA
